"x","y_obs_TiannaGreenMAPbBr50I50.tif_Azm=_0.00"
24.872,30.233
24.89,30.182
24.908,30.166
24.926,30.193
24.944,30.139
24.962,30.17
24.98,30.315
24.998,30.317
25.016,30.335
25.034,30.484
25.052,30.616
25.07,30.739
25.088,30.857
25.106,30.723
25.124,30.714
25.142,30.496
25.16,30.346
25.178,30.3
25.196,30.295
25.214,30.306
25.232,30.297
25.25,30.296
25.268,30.263
25.286,30.28
25.304,30.283
25.322,30.355
25.34,30.306
25.358,30.313
25.376,30.452
25.394,30.545
25.412,30.542
25.43,30.424
25.448,30.311
25.466,30.61
25.484,30.408
25.502,30.517
25.52,30.635
25.538,30.519
25.556,30.69
25.574,30.522
25.592,30.443
25.61,30.68
25.628,31.14
25.646,30.887
25.664,30.883
25.682,30.646
25.7,30.714
25.718,30.867
25.736,30.766
25.754,30.857
25.772,30.77
25.79,30.824
25.808,30.792
25.826,30.909
25.844,30.905
25.862,31.086
25.88,31.366
25.898,32.909
25.916,32.185
25.934,31.318
25.952,31.395
25.97,31.128
25.988,31.083
26.006,31.1
26.024,31.225
26.042,31.33
26.06,31.4
26.078,31.555
26.096,31.549
26.114,31.52
26.132,31.672
26.15,32.079
26.168,31.956
26.186,32.179
26.204,32.183
26.222,31.998
26.24,32.204
26.258,32.335
26.276,32.297
26.294,31.927
26.312,32.007
26.33,32.093
26.348,32.276
26.366,32.529
26.384,32.746
26.402,33.212
26.42,34.176
26.438,35.796
26.456,38.229
26.474,41.38
26.492,44.838
26.51,47.898
26.528,48.797
26.546,47.323
26.564,45.379
26.582,41.539
26.6,38.485
26.618,36.32
26.636,34.356
26.654,33.497
26.672,32.932
26.69,32.554
26.708,32.278
26.726,31.994
26.744,31.999
26.762,32.182
26.78,32.24
26.798,32.117
26.816,31.831
26.834,31.788
26.852,31.942
26.87,31.94
26.888,31.851
26.906,32.119
26.924,32.124
26.942,31.899
26.96,31.969
26.978,31.961
26.996,31.918
27.014,31.912
27.032,31.897
27.05,31.994
27.068,32.105
27.086,31.994
27.104,32.089
27.122,32.109
27.14,32.028
27.158,32.12
27.176,32.081
27.194,32.034
27.212,32.188
27.23,32.257
27.248,32.227
27.266,32.23
27.284,32.357
27.302,32.284
27.32,32.293
27.338,32.299
27.356,32.255
27.374,32.403
27.392,32.371
27.41,32.232
27.428,32.241
27.446,32.251
27.464,32.276
27.482,32.295
27.5,32.355
27.518,32.33
27.536,32.3
27.554,32.338
27.572,32.271
27.59,32.361
27.608,32.314
27.626,32.288
27.644,32.363
27.662,32.4
27.68,32.461
27.698,32.395
27.716,32.371
27.734,32.569
27.752,32.464
27.77,32.536
27.788,32.413
27.806,32.519
27.824,32.48
27.842,32.342
27.86,32.407
27.878,32.53
27.896,32.578
27.914,32.698
27.932,32.781
27.95,32.686
27.968,32.811
27.986,32.759
28.004,32.741
28.022,33.024
28.04,33.409
28.058,34.112
28.076,34.868
28.094,35.615
28.112,37.338
28.13,38.875
28.148,39.699
28.166,39.496
28.184,38.689
28.202,37.264
28.22,35.794
28.238,34.793
28.256,34.211
28.274,33.747
28.292,33.282
28.31,32.804
28.328,32.7
28.346,32.815
28.364,32.948
28.382,33.003
28.4,32.925
28.418,32.727
28.436,32.834
28.454,32.74
28.472,32.774
28.49,32.81
28.508,32.768
28.526,32.711
28.544,32.554
28.562,32.823
28.58,32.906
28.598,33.099
28.616,32.994
28.634,32.962
28.652,32.994
28.67,32.802
28.688,32.977
28.706,32.819
28.724,32.797
28.742,32.858
28.76,32.928
28.778,32.955
28.796,32.793
28.814,32.916
28.832,32.74
28.85,32.666
28.868,32.958
28.886,32.973
28.904,32.787
28.922,32.905
28.94,32.891
28.958,32.945
28.976,32.953
28.994,32.9
29.012,33.02
29.03,32.898
29.048,32.615
29.066,32.912
29.084,33.054
29.102,32.887
29.12,32.682
29.138,32.846
29.156,32.949
29.174,32.799
29.192,32.851
29.21,32.998
29.228,32.962
29.246,33.088
29.264,32.932
29.282,32.922
29.3,32.914
29.318,32.915
29.336,33.071
29.354,32.945
29.372,32.961
29.39,33.065
29.408,32.971
29.426,32.957
29.444,33.018
29.462,33.045
29.48,33.248
29.498,33.243
29.516,33.128
29.534,33.001
29.552,32.957
29.57,33.329
29.588,33.413
29.606,33.393
29.624,33.682
29.642,33.853
29.66,34.265
29.678,34.56
29.696,34.602
29.714,34.526
29.732,34.47
29.75,33.989
29.768,33.86
29.786,33.65
29.804,33.524
29.822,33.427
29.84,33.278
29.858,33.328
29.876,33.26
29.894,33.251
29.912,33.204
29.93,33.12
29.948,33.202
29.966,33.3
29.984,33.173
30.002,33.32
30.02,33.198
30.038,33.178
30.056,33.347
30.074,33.427
30.092,33.31
30.11,33.21
30.128,33.282
30.146,33.287
30.164,33.535
30.182,33.774
30.2,33.318
30.218,33.405
30.236,33.45
30.254,33.467
30.272,33.394
30.29,33.398
30.308,33.427
30.326,33.371
30.344,33.374
30.362,33.317
30.38,33.271
30.398,33.38
30.416,33.331
30.434,33.327
30.452,33.389
30.47,33.374
30.488,33.462
30.506,33.441
30.524,33.622
30.542,33.444
30.56,33.332
30.578,33.485
30.596,33.489
30.614,33.595
30.632,33.446
30.65,33.544
30.668,33.51
30.686,33.562
30.704,33.495
30.722,33.495
30.74,33.39
30.758,33.504
30.776,33.497
30.794,33.695
30.812,33.673
30.83,33.732
30.848,33.662
30.866,33.668
30.884,33.565
30.902,33.713
30.92,33.793
30.938,33.72
30.956,33.723
30.974,33.729
30.992,33.79
31.01,33.76
31.028,33.713
31.046,33.886
31.064,33.672
31.082,33.573
31.1,33.76
31.118,33.876
31.136,33.873
31.154,33.977
31.172,34.117
31.19,34.222
31.208,34.132
31.226,33.991
31.244,33.888
31.262,33.903
31.28,34.056
31.298,33.953
31.316,33.998
31.334,34.012
31.352,34.039
31.37,34.025
31.388,34.003
31.406,33.955
31.424,33.93
31.442,34.027
31.46,33.926
31.478,33.963
31.496,34.136
31.514,34.209
31.532,34.095
31.55,34.236
31.568,34.247
31.586,34.17
31.604,34.147
31.622,34.096
31.64,34.197
31.658,34.097
31.676,34.161
31.694,34.415
31.712,34.302
31.73,34.344
31.748,34.386
31.766,34.307
31.784,34.221
31.802,34.491
31.82,34.317
31.838,34.373
31.856,34.701
31.874,34.466
31.892,34.436
31.91,34.418
31.928,34.619
31.946,34.315
31.964,34.559
31.982,34.54
32.0,34.552
32.018,34.465
32.036,34.522
32.054,34.549
32.072,34.755
32.09,34.663
32.108,34.663
32.126,34.826
32.144,34.644
32.162,34.676
32.18,34.699
32.198,34.654
32.216,34.619
32.234,34.586
32.252,34.833
32.27,34.813
32.288,34.814
32.306,34.854
32.324,34.841
32.342,34.658
32.36,34.811
32.378,34.929
32.396,34.781
32.414,34.966
32.432,34.927
32.45,35.188
32.468,35.436
32.486,35.628
32.504,35.992
32.522,36.438
32.54,37.134
32.558,37.599
32.576,38.027
32.594,38.376
32.612,38.057
32.63,37.572
32.648,37.249
32.666,36.693
32.684,36.078
32.702,35.868
32.72,35.806
32.738,35.731
32.756,35.491
32.774,35.553
32.792,35.63
32.81,35.537
32.828,35.385
32.846,35.613
32.864,35.557
32.882,35.65
32.9,35.683
32.918,35.531
32.936,35.491
32.954,35.587
32.972,35.654
32.99,35.693
33.008,35.812
33.026,35.788
33.044,35.7
33.062,35.736
33.08,35.66
33.098,35.83
33.116,35.791
33.134,35.697
33.152,35.744
33.17,35.628
33.188,35.586
33.206,35.768
33.224,35.801
33.242,35.762
33.26,35.823
33.278,35.906
33.296,35.879
33.314,36.053
33.332,36.05
33.35,35.792
33.368,36.015
33.386,36.199
33.404,36.339
33.422,36.433
33.44,36.246
33.458,36.182
33.476,36.079
33.494,36.201
33.512,36.925
33.53,36.946
33.548,36.313
33.566,36.36
33.584,36.155
33.602,36.339
33.62,36.251
33.638,36.416
33.656,36.429
33.674,36.666
33.692,36.6
33.71,36.68
33.728,36.493
33.746,36.557
33.764,36.736
33.782,36.879
33.8,36.773
33.818,37.233
33.836,37.093
33.854,37.339
33.872,37.506
33.89,37.827
33.908,38.161
33.926,38.738
33.944,39.376
33.962,39.892
33.98,39.534
33.998,39.121
34.016,38.694
34.034,38.245
34.052,37.75
34.07,37.592
34.088,37.29
34.106,37.277
34.124,37.24
34.142,37.33
34.16,37.107
34.178,37.12
34.196,37.099
34.214,37.132
34.232,37.07
34.25,37.198
34.268,37.281
34.286,37.406
34.304,36.456
34.322,36.853
34.34,36.674
34.358,37.1
34.376,37.222
34.394,37.229
34.412,37.046
34.43,37.325
34.448,37.542
34.466,37.498
34.484,37.569
34.502,37.502
34.52,37.68
34.538,37.65
34.556,37.726
34.574,37.733
34.592,37.625
34.61,37.71
34.628,37.871
34.646,37.767
34.664,38.104
34.682,37.683
34.7,38.018
34.718,37.696
34.736,37.945
34.754,38.017
34.772,37.829
34.79,38.072
34.808,38.139
34.826,38.11
34.844,38.2
34.862,38.473
34.88,38.057
34.898,38.168
34.916,38.289
34.934,38.236
34.952,38.486
34.97,38.186
34.988,38.523
35.006,38.49
35.024,38.612
35.042,38.504
35.06,38.769
35.078,38.751
35.096,38.996
35.114,38.894
35.132,38.858
35.15,38.995
35.168,38.887
35.186,39.421
35.204,39.35
35.222,39.659
35.24,40.314
35.258,40.197
35.276,40.512
35.294,40.531
35.312,40.493
35.33,40.229
35.348,39.955
35.366,39.769
35.384,39.908
35.402,39.658
35.42,39.477
35.438,39.458
35.456,39.604
35.474,39.53
35.492,39.541
35.51,39.455
35.528,39.339
35.546,39.581
35.564,39.867
35.582,39.535
35.6,39.758
35.618,39.75
35.636,39.752
35.654,39.867
35.672,40.148
35.69,39.969
35.708,40.001
35.726,40.124
35.744,39.762
35.762,39.763
35.78,40.153
35.798,39.93
35.816,40.237
35.834,40.32
35.852,40.23
35.87,40.336
35.888,40.1
35.906,39.692
35.924,39.579
35.942,40.172
35.96,40.323
